Gene	Module	kME
ENSMUSG00000026587	P3_I9_M5	0.93
ENSMUSG00000026589	P2_I12_M16	0.91
ENSMUSG00000026592	UNCLASSIFIED	NA
ENSMUSG00000026594	UNCLASSIFIED	NA
ENSMUSG00000026596	P2_I12_M2	0.95
ENSMUSG00000026600	P2_I12_M1	0.94
ENSMUSG00000026602	UNCLASSIFIED	NA
ENSMUSG00000026603	P2_I12_M9	0.89
ENSMUSG00000026604	P2_I12_M3	0.9
ENSMUSG00000026605	P5_I8_M10	0.92
ENSMUSG00000026608	P2_I12_M1	0.92
ENSMUSG00000026610	UNCLASSIFIED	NA
ENSMUSG00000026611	P1_I9_M3	0.82
ENSMUSG00000026614	P1_I9_M2	0.98
ENSMUSG00000026615	P3_I9_M6	0.88
ENSMUSG00000026616	P6_I6_M7	0.92
ENSMUSG00000026617	P3_I9_M11	0.84
ENSMUSG00000026618	P5_I8_M1	0.91
ENSMUSG00000026620	P4_I9_M6	0.89
ENSMUSG00000026621	P1_I9_M2	0.8
ENSMUSG00000026622	UNCLASSIFIED	NA
ENSMUSG00000026623	P3_I9_M6	0.93
ENSMUSG00000026626	P5_I8_M6	0.88
ENSMUSG00000026627	P3_I9_M12	0.93
ENSMUSG00000026628	P2_I12_M1	0.95
ENSMUSG00000026630	P3_I9_M11	0.92
ENSMUSG00000026632	P5_I8_M3	0.89
ENSMUSG00000026634	P1_I9_M1	0.89
ENSMUSG00000026637	P2_I12_M1	0.92
ENSMUSG00000026638	P1_I9_M2	0.92
ENSMUSG00000026639	P5_I8_M14	0.92
ENSMUSG00000026640	P2_I12_M2	0.88
ENSMUSG00000026641	P4_I9_M6	0.89
ENSMUSG00000026643	P9_I6_M5	0.88
ENSMUSG00000026644	UNCLASSIFIED	NA
ENSMUSG00000026645	UNCLASSIFIED	NA
ENSMUSG00000026646	P2_I12_M7	0.87
ENSMUSG00000026648	P2_I12_M2	0.89
ENSMUSG00000026649	P1_I9_M3	0.85
ENSMUSG00000026650	P1_I9_M3	0.94
ENSMUSG00000026655	UNCLASSIFIED	NA
ENSMUSG00000026656	P3_I9_M11	0.81
ENSMUSG00000026657	P3_I9_M1	0.94
ENSMUSG00000026659	UNCLASSIFIED	NA
ENSMUSG00000026662	P4_I9_M1	0.86
ENSMUSG00000026663	P4_I9_M14	0.9
ENSMUSG00000026664	P1_I9_M2	0.96
ENSMUSG00000026667	P3_I9_M6	0.95
ENSMUSG00000026669	P1_I9_M2	0.96
ENSMUSG00000026670	P4_I9_M7	0.89
ENSMUSG00000026672	P5_I8_M14	0.87
ENSMUSG00000026674	P3_I9_M6	0.91
ENSMUSG00000026675	P2_I12_M17	0.93
ENSMUSG00000026676	P5_I8_M4	0.92
ENSMUSG00000026678	P3_I9_M3	0.9
ENSMUSG00000026679	P1_I9_M3	0.97
ENSMUSG00000026683	P5_I8_M10	0.94
ENSMUSG00000026686	P2_I12_M8	0.8
ENSMUSG00000026687	P6_I6_M2	0.88
ENSMUSG00000026688	P3_I9_M16	0.85
ENSMUSG00000026691	UNCLASSIFIED	NA
ENSMUSG00000026692	P2_I12_M12	0.87
ENSMUSG00000026694	UNCLASSIFIED	NA
ENSMUSG00000026696	P1_I9_M1	0.92
ENSMUSG00000026697	P1_I9_M4	0.92
ENSMUSG00000026698	P3_I9_M2	0.91
ENSMUSG00000026700	UNCLASSIFIED	NA
ENSMUSG00000026701	UNCLASSIFIED	NA
ENSMUSG00000026705	P1_I9_M1	0.88
ENSMUSG00000026707	P2_I12_M3	0.92
ENSMUSG00000026708	UNCLASSIFIED	NA
ENSMUSG00000026709	P5_I8_M1	0.88
ENSMUSG00000026712	P3_I9_M6	0.89
ENSMUSG00000026715	P1_I9_M2	0.95
ENSMUSG00000026718	P11_I1_M3	0.94
ENSMUSG00000026721	P4_I9_M1	0.88
ENSMUSG00000026723	P1_I9_M1	0.92
ENSMUSG00000026725	UNCLASSIFIED	NA
ENSMUSG00000026726	P1_I9_M1	0.81
ENSMUSG00000026727	P4_I9_M6	0.89
ENSMUSG00000026728	P1_I9_M1	0.92
ENSMUSG00000026729	P2_I12_M3	0.86
ENSMUSG00000026730	P1_I9_M2	0.9
ENSMUSG00000026736	UNCLASSIFIED	NA
ENSMUSG00000026737	P1_I9_M1	0.92
ENSMUSG00000026739	P4_I9_M16	0.93
ENSMUSG00000026740	P2_I12_M2	0.88
ENSMUSG00000026743	P6_I6_M1	0.92
ENSMUSG00000026748	P1_I9_M1	0.88
ENSMUSG00000026749	P2_I12_M1	0.93
ENSMUSG00000026750	UNCLASSIFIED	NA
ENSMUSG00000026751	UNCLASSIFIED	NA
ENSMUSG00000026753	P4_I9_M16	0.87
ENSMUSG00000026754	P3_I9_M17	0.89
ENSMUSG00000026755	P2_I12_M9	0.87
ENSMUSG00000026761	P4_I9_M16	0.92
ENSMUSG00000026764	P4_I9_M17	0.81
ENSMUSG00000026765	P4_I9_M22	0.88
ENSMUSG00000026766	P4_I9_M11	0.87
ENSMUSG00000026767	UNCLASSIFIED	NA
ENSMUSG00000026768	UNCLASSIFIED	NA
ENSMUSG00000026770	P2_I12_M7	0.94
ENSMUSG00000026771	P11_I1_M3	0.93
ENSMUSG00000026773	P3_I9_M2	0.87
ENSMUSG00000026775	P11_I1_M3	0.89
ENSMUSG00000026778	P1_I9_M4	0.81
ENSMUSG00000026779	P5_I8_M10	0.87
ENSMUSG00000026781	P2_I12_M16	0.86
ENSMUSG00000026782	P7_I7_M1	0.93
ENSMUSG00000026784	P4_I9_M16	0.86
ENSMUSG00000026785	P2_I12_M5	0.9
ENSMUSG00000026786	P2_I12_M1	0.93
ENSMUSG00000026788	UNCLASSIFIED	NA
ENSMUSG00000026790	P1_I9_M1	0.96
ENSMUSG00000026791	P7_I7_M3	0.96
ENSMUSG00000026792	P1_I9_M1	0.91
ENSMUSG00000026796	P3_I9_M12	0.92
ENSMUSG00000026797	P1_I9_M1	0.95
ENSMUSG00000026798	P5_I8_M6	0.87
ENSMUSG00000026799	P1_I9_M1	0.88
ENSMUSG00000026803	P3_I9_M17	0.92
ENSMUSG00000026805	P7_I7_M6	0.84
ENSMUSG00000026806	UNCLASSIFIED	NA
ENSMUSG00000026807	P4_I9_M10	0.93
ENSMUSG00000026809	P3_I9_M1	0.81
ENSMUSG00000026810	P2_I12_M4	0.92
ENSMUSG00000026811	UNCLASSIFIED	NA
ENSMUSG00000026812	P6_I6_M1	0.87
ENSMUSG00000026814	P5_I8_M12	0.84
ENSMUSG00000026815	UNCLASSIFIED	NA
ENSMUSG00000026816	P1_I9_M1	0.93
ENSMUSG00000026817	P1_I9_M4	0.93
ENSMUSG00000026819	UNCLASSIFIED	NA
ENSMUSG00000026820	P3_I9_M21	0.8
ENSMUSG00000026821	P1_I9_M1	0.96
ENSMUSG00000026822	UNCLASSIFIED	NA
ENSMUSG00000026825	P3_I9_M12	0.92
ENSMUSG00000026826	UNCLASSIFIED	NA
ENSMUSG00000026827	P1_I9_M7	0.89
ENSMUSG00000026828	UNCLASSIFIED	NA
ENSMUSG00000026829	P1_I9_M1	0.9
ENSMUSG00000026831	P1_I9_M3	0.96
ENSMUSG00000026832	P2_I12_M1	0.9
ENSMUSG00000026833	P4_I9_M25	0.96
ENSMUSG00000026834	P10_I3_M4	0.92
ENSMUSG00000026836	P4_I9_M12	0.9
ENSMUSG00000026837	P2_I12_M1	0.92
ENSMUSG00000026839	P1_I9_M2	0.87
ENSMUSG00000026840	P3_I9_M8	0.87
ENSMUSG00000026842	P1_I9_M1	0.95
ENSMUSG00000026843	P5_I8_M17	0.91
ENSMUSG00000026848	P1_I9_M1	0.9
ENSMUSG00000026849	P2_I12_M17	0.82
ENSMUSG00000026851	P2_I12_M4	0.9
ENSMUSG00000026853	P4_I9_M18	0.89
ENSMUSG00000026854	P9_I6_M1	0.9
ENSMUSG00000026856	P7_I7_M3	0.88
ENSMUSG00000026857	P2_I12_M4	0.92
ENSMUSG00000026858	P5_I8_M13	0.8
ENSMUSG00000026860	P6_I6_M10	0.9
ENSMUSG00000026864	UNCLASSIFIED	NA
ENSMUSG00000026866	P1_I9_M2	0.99
ENSMUSG00000026867	P2_I12_M2	0.96
ENSMUSG00000026869	P4_I9_M7	0.88
ENSMUSG00000026870	P1_I9_M2	0.92
ENSMUSG00000026872	P4_I9_M7	0.92
ENSMUSG00000026873	UNCLASSIFIED	NA
ENSMUSG00000026874	P1_I9_M2	0.9
ENSMUSG00000026875	P2_I12_M1	0.92
ENSMUSG00000026878	P11_I1_M3	0.94
ENSMUSG00000026879	P4_I9_M5	0.92
ENSMUSG00000026880	P5_I8_M4	0.88
ENSMUSG00000026883	P2_I12_M3	0.91
ENSMUSG00000026885	P9_I6_M5	0.87
ENSMUSG00000026887	UNCLASSIFIED	NA
ENSMUSG00000026888	UNCLASSIFIED	NA
ENSMUSG00000026889	P3_I9_M7	0.92
ENSMUSG00000026890	UNCLASSIFIED	NA
ENSMUSG00000026893	P4_I9_M12	0.81
ENSMUSG00000026894	P1_I9_M3	0.9
ENSMUSG00000026895	P12_I2_M1	0.82
ENSMUSG00000026896	UNCLASSIFIED	NA
ENSMUSG00000026904	UNCLASSIFIED	NA
ENSMUSG00000026914	P3_I9_M7	0.9
ENSMUSG00000026915	P2_I12_M10	0.88
ENSMUSG00000026917	P6_I6_M3	0.83
ENSMUSG00000026918	P3_I9_M17	0.93
ENSMUSG00000026919	UNCLASSIFIED	NA
ENSMUSG00000026921	P4_I9_M8	0.85
ENSMUSG00000026922	P4_I9_M11	0.8
ENSMUSG00000026923	P3_I9_M3	0.89
ENSMUSG00000026924	P4_I9_M9	0.86
ENSMUSG00000026925	P4_I9_M8	0.92
ENSMUSG00000026926	P4_I9_M16	0.88
ENSMUSG00000026927	P1_I9_M1	0.93
ENSMUSG00000026928	P2_I12_M1	0.93
ENSMUSG00000026930	P5_I8_M12	0.93
ENSMUSG00000026932	P1_I9_M1	0.94
ENSMUSG00000026933	P7_I7_M1	0.89
ENSMUSG00000026938	UNCLASSIFIED	NA
ENSMUSG00000026939	UNCLASSIFIED	NA
ENSMUSG00000026940	UNCLASSIFIED	NA
ENSMUSG00000026941	P5_I8_M6	0.86
ENSMUSG00000026942	P3_I9_M10	0.9
ENSMUSG00000026943	UNCLASSIFIED	NA
ENSMUSG00000026944	UNCLASSIFIED	NA
ENSMUSG00000026946	UNCLASSIFIED	NA
ENSMUSG00000026950	P1_I9_M4	0.96
ENSMUSG00000026955	P5_I8_M10	0.9
ENSMUSG00000026956	UNCLASSIFIED	NA
ENSMUSG00000026958	P2_I12_M8	0.9
ENSMUSG00000026959	UNCLASSIFIED	NA
ENSMUSG00000026960	P5_I8_M4	0.83
ENSMUSG00000026961	P3_I9_M25	0.92
ENSMUSG00000026965	P1_I9_M1	0.92
ENSMUSG00000026966	P2_I12_M4	0.92
ENSMUSG00000026969	P4_I9_M2	0.83
ENSMUSG00000026970	P1_I9_M1	0.96
ENSMUSG00000026971	P1_I9_M4	0.95
ENSMUSG00000026972	P3_I9_M12	0.93
ENSMUSG00000026974	P4_I9_M22	0.86
ENSMUSG00000026975	P2_I12_M3	0.87
ENSMUSG00000026976	P1_I9_M3	0.96
ENSMUSG00000026977	P2_I12_M2	0.93
ENSMUSG00000026979	P3_I9_M10	0.86
ENSMUSG00000026980	UNCLASSIFIED	NA
ENSMUSG00000026981	P2_I12_M1	0.86
ENSMUSG00000026986	P10_I3_M4	0.89
ENSMUSG00000026987	P3_I9_M9	0.92
ENSMUSG00000026988	P3_I9_M2	0.96
ENSMUSG00000026989	UNCLASSIFIED	NA
ENSMUSG00000026991	UNCLASSIFIED	NA
ENSMUSG00000026994	P1_I9_M3	0.89
ENSMUSG00000026999	P1_I9_M1	0.89
ENSMUSG00000027001	P5_I8_M3	0.8
ENSMUSG00000027002	P2_I12_M7	0.94
ENSMUSG00000027004	UNCLASSIFIED	NA
ENSMUSG00000027006	P3_I9_M13	0.93
ENSMUSG00000027007	UNCLASSIFIED	NA
ENSMUSG00000027009	P3_I9_M6	0.91
ENSMUSG00000027010	P1_I9_M4	0.97
ENSMUSG00000027011	P5_I8_M3	0.86
ENSMUSG00000027012	P1_I9_M1	0.98
ENSMUSG00000027014	P3_I9_M3	0.91
ENSMUSG00000027015	P9_I6_M3	0.84
ENSMUSG00000027016	UNCLASSIFIED	NA
ENSMUSG00000027018	P4_I9_M16	0.87
ENSMUSG00000027022	P1_I9_M4	0.97
ENSMUSG00000027030	P2_I12_M7	0.93
ENSMUSG00000027035	P4_I9_M7	0.9
ENSMUSG00000027048	P1_I9_M2	0.96
ENSMUSG00000027067	P1_I9_M1	0.91
ENSMUSG00000027068	UNCLASSIFIED	NA
ENSMUSG00000027070	P1_I9_M3	0.95
ENSMUSG00000027071	UNCLASSIFIED	NA
ENSMUSG00000027073	P1_I9_M6	0.82
ENSMUSG00000027074	P3_I9_M3	0.93
ENSMUSG00000027075	P4_I9_M24	0.88
ENSMUSG00000027076	P4_I9_M11	0.83
ENSMUSG00000027077	P1_I9_M4	0.92
ENSMUSG00000027078	P11_I1_M2	0.9
ENSMUSG00000027079	UNCLASSIFIED	NA
ENSMUSG00000027080	P2_I12_M1	0.88
ENSMUSG00000027082	P6_I6_M4	0.83
ENSMUSG00000027086	UNCLASSIFIED	NA
ENSMUSG00000027087	P3_I9_M6	0.95
ENSMUSG00000027088	UNCLASSIFIED	NA
ENSMUSG00000027091	P1_I9_M1	0.91
ENSMUSG00000027099	UNCLASSIFIED	NA
ENSMUSG00000027102	P1_I9_M1	0.94
ENSMUSG00000027104	P11_I1_M3	0.91
ENSMUSG00000027107	P1_I9_M4	0.94
ENSMUSG00000027108	P3_I9_M7	0.87
ENSMUSG00000027109	P11_I1_M3	0.92
ENSMUSG00000027111	P1_I9_M1	0.89
ENSMUSG00000027115	P4_I9_M1	0.84
ENSMUSG00000027122	P11_I1_M3	0.9
ENSMUSG00000027130	P1_I9_M1	0.92
ENSMUSG00000027131	P3_I9_M7	0.9
ENSMUSG00000027132	P1_I9_M1	0.93
ENSMUSG00000027133	UNCLASSIFIED	NA
ENSMUSG00000027134	P1_I9_M1	0.91
ENSMUSG00000027160	P9_I6_M2	0.93
ENSMUSG00000027162	P11_I1_M3	0.94
ENSMUSG00000027163	P3_I9_M7	0.91
ENSMUSG00000027164	P4_I9_M9	0.91
ENSMUSG00000027165	P6_I6_M5	0.9
ENSMUSG00000027166	P2_I12_M7	0.94
ENSMUSG00000027167	UNCLASSIFIED	NA
ENSMUSG00000027170	UNCLASSIFIED	NA
ENSMUSG00000027171	UNCLASSIFIED	NA
ENSMUSG00000027173	P1_I9_M2	0.94
ENSMUSG00000027175	P7_I7_M1	0.88
ENSMUSG00000027176	P3_I9_M1	0.87
ENSMUSG00000027177	P3_I9_M9	0.87
ENSMUSG00000027180	UNCLASSIFIED	NA
ENSMUSG00000027184	P3_I9_M6	0.9
ENSMUSG00000027185	UNCLASSIFIED	NA
ENSMUSG00000027186	P3_I9_M25	0.93
ENSMUSG00000027187	P3_I9_M22	0.89
ENSMUSG00000027188	P8_I5_M3	0.82
ENSMUSG00000027189	P2_I12_M2	0.95
ENSMUSG00000027193	P9_I6_M2	0.89
ENSMUSG00000027194	P6_I6_M8	0.89
ENSMUSG00000027195	UNCLASSIFIED	NA
ENSMUSG00000027196	UNCLASSIFIED	NA
ENSMUSG00000027198	P4_I9_M6	0.95
ENSMUSG00000027199	P2_I12_M6	0.94
ENSMUSG00000027200	P2_I12_M2	0.93
ENSMUSG00000027201	P1_I9_M1	0.91
ENSMUSG00000027203	P6_I6_M5	0.92
ENSMUSG00000027204	P4_I9_M1	0.94
ENSMUSG00000027206	P4_I9_M16	0.91
ENSMUSG00000027207	P5_I8_M3	0.86
ENSMUSG00000027208	P7_I7_M1	0.87
ENSMUSG00000027209	UNCLASSIFIED	NA
ENSMUSG00000027210	P4_I9_M12	0.93
ENSMUSG00000027215	P7_I7_M6	0.86
ENSMUSG00000027217	P5_I8_M4	0.93
ENSMUSG00000027219	P2_I12_M3	0.9
ENSMUSG00000027220	P6_I6_M9	0.84
ENSMUSG00000027221	P4_I9_M24	0.97
ENSMUSG00000027222	P4_I9_M25	0.82
ENSMUSG00000027223	P3_I9_M2	0.86
ENSMUSG00000027224	P2_I12_M1	0.88
ENSMUSG00000027225	UNCLASSIFIED	NA
ENSMUSG00000027227	P1_I9_M2	0.91
ENSMUSG00000027230	P1_I9_M1	0.89
ENSMUSG00000027233	UNCLASSIFIED	NA
ENSMUSG00000027236	P1_I9_M5	0.88
ENSMUSG00000027238	UNCLASSIFIED	NA
ENSMUSG00000027239	P1_I9_M3	0.94
ENSMUSG00000027242	P4_I9_M1	0.92
ENSMUSG00000027243	UNCLASSIFIED	NA
ENSMUSG00000027244	UNCLASSIFIED	NA
ENSMUSG00000027245	P2_I12_M4	0.89
ENSMUSG00000027246	UNCLASSIFIED	NA
ENSMUSG00000027247	P4_I9_M7	0.96
ENSMUSG00000027248	P4_I9_M19	0.85
ENSMUSG00000027249	P1_I9_M2	0.92
ENSMUSG00000027253	P2_I12_M10	0.93
ENSMUSG00000027254	P3_I9_M15	0.85
ENSMUSG00000027255	UNCLASSIFIED	NA
ENSMUSG00000027257	UNCLASSIFIED	NA
ENSMUSG00000027259	P2_I12_M6	0.83
ENSMUSG00000027261	P1_I9_M2	0.94
ENSMUSG00000027263	P3_I9_M17	0.91
ENSMUSG00000027272	P2_I12_M2	0.95
ENSMUSG00000027274	UNCLASSIFIED	NA
ENSMUSG00000027276	P4_I9_M8	0.9
ENSMUSG00000027281	P1_I9_M1	0.88
ENSMUSG00000027282	P2_I12_M13	0.87
ENSMUSG00000027284	P2_I12_M5	0.92
ENSMUSG00000027285	P2_I12_M7	0.93
ENSMUSG00000027286	P2_I12_M7	0.93
ENSMUSG00000027287	P3_I9_M6	0.92
ENSMUSG00000027288	P3_I9_M14	0.95
ENSMUSG00000027291	P1_I9_M1	0.96
ENSMUSG00000027293	P1_I9_M1	0.96
ENSMUSG00000027296	UNCLASSIFIED	NA
ENSMUSG00000027297	UNCLASSIFIED	NA
ENSMUSG00000027298	P3_I9_M12	0.91
ENSMUSG00000027300	P3_I9_M17	0.89
ENSMUSG00000027303	P1_I9_M1	0.96
ENSMUSG00000027304	P7_I7_M1	0.88
ENSMUSG00000027305	UNCLASSIFIED	NA
ENSMUSG00000027306	P5_I8_M10	0.92
ENSMUSG00000027309	P1_I9_M1	0.93
ENSMUSG00000027312	P4_I9_M13	0.86
ENSMUSG00000027313	UNCLASSIFIED	NA
ENSMUSG00000027314	P1_I9_M1	0.86
ENSMUSG00000027315	P1_I9_M3	0.91
ENSMUSG00000027316	P3_I9_M2	0.82
ENSMUSG00000027317	UNCLASSIFIED	NA
ENSMUSG00000027318	P9_I6_M3	0.87
ENSMUSG00000027322	UNCLASSIFIED	NA
ENSMUSG00000027323	P3_I9_M21	0.8
ENSMUSG00000027324	UNCLASSIFIED	NA
ENSMUSG00000027326	P5_I8_M10	0.89
ENSMUSG00000027327	P5_I8_M4	0.85
ENSMUSG00000027329	P2_I12_M3	0.8
ENSMUSG00000027330	P1_I9_M1	0.94
ENSMUSG00000027331	P4_I9_M1	0.91
ENSMUSG00000027332	P4_I9_M24	0.89
ENSMUSG00000027333	P7_I7_M2	0.87
ENSMUSG00000027335	P3_I9_M10	0.92
ENSMUSG00000027338	P4_I9_M22	0.83
ENSMUSG00000027339	P1_I9_M1	0.91
ENSMUSG00000027340	P6_I6_M8	0.92
ENSMUSG00000027341	P1_I9_M1	0.86
ENSMUSG00000027342	P2_I12_M7	0.94
ENSMUSG00000027344	P1_I9_M3	0.95
ENSMUSG00000027346	UNCLASSIFIED	NA
ENSMUSG00000027347	P5_I8_M9	0.92
ENSMUSG00000027349	P1_I9_M1	0.89
ENSMUSG00000027350	UNCLASSIFIED	NA
ENSMUSG00000027351	P4_I9_M7	0.94
ENSMUSG00000027353	P1_I9_M1	0.87
ENSMUSG00000027356	P1_I9_M3	0.97
ENSMUSG00000027357	P5_I8_M13	0.93
ENSMUSG00000027358	UNCLASSIFIED	NA
ENSMUSG00000027359	P1_I9_M2	0.94
ENSMUSG00000027360	UNCLASSIFIED	NA
ENSMUSG00000027361	P3_I9_M1	0.87
ENSMUSG00000027363	P6_I6_M8	0.92
ENSMUSG00000027364	UNCLASSIFIED	NA
ENSMUSG00000027365	P2_I12_M2	0.96
ENSMUSG00000027366	P10_I3_M3	0.85
ENSMUSG00000027367	UNCLASSIFIED	NA
ENSMUSG00000027368	P6_I6_M7	0.93
ENSMUSG00000027371	UNCLASSIFIED	NA
ENSMUSG00000027374	UNCLASSIFIED	NA
ENSMUSG00000027375	P1_I9_M3	0.9
ENSMUSG00000027376	UNCLASSIFIED	NA
ENSMUSG00000027377	P3_I9_M15	0.89
ENSMUSG00000027378	P5_I8_M3	0.94
ENSMUSG00000027379	P5_I8_M10	0.95
ENSMUSG00000027380	UNCLASSIFIED	NA
ENSMUSG00000027381	P8_I5_M1	0.88
ENSMUSG00000027384	P2_I12_M9	0.83
ENSMUSG00000027386	UNCLASSIFIED	NA
ENSMUSG00000027387	UNCLASSIFIED	NA
ENSMUSG00000027394	P3_I9_M4	0.87
ENSMUSG00000027395	P7_I7_M7	0.81
ENSMUSG00000027397	UNCLASSIFIED	NA
ENSMUSG00000027398	UNCLASSIFIED	NA
ENSMUSG00000027399	P1_I9_M2	0.81
ENSMUSG00000027404	P2_I12_M4	0.97
ENSMUSG00000027405	P3_I9_M1	0.87
ENSMUSG00000027406	P1_I9_M7	0.96
ENSMUSG00000027408	P6_I6_M5	0.84
ENSMUSG00000027409	UNCLASSIFIED	NA
ENSMUSG00000027411	P5_I8_M12	0.9
ENSMUSG00000027412	P2_I12_M7	0.84
ENSMUSG00000027416	UNCLASSIFIED	NA
ENSMUSG00000027420	P3_I9_M2	0.89
ENSMUSG00000027422	UNCLASSIFIED	NA
ENSMUSG00000027423	P1_I9_M1	0.93
ENSMUSG00000027424	P2_I12_M18	0.9
ENSMUSG00000027425	P1_I9_M1	0.88
ENSMUSG00000027427	P2_I12_M2	0.85
ENSMUSG00000027428	P3_I9_M9	0.87
ENSMUSG00000027429	P4_I9_M19	0.8
ENSMUSG00000027430	P3_I9_M16	0.84
ENSMUSG00000027433	P3_I9_M17	0.88
ENSMUSG00000027435	P1_I9_M1	0.95
ENSMUSG00000027438	P3_I9_M14	0.82
ENSMUSG00000027439	P4_I9_M24	0.84
ENSMUSG00000027442	P2_I12_M21	0.96
ENSMUSG00000027445	UNCLASSIFIED	NA
ENSMUSG00000027446	P2_I12_M21	0.91
ENSMUSG00000027447	P5_I8_M2	0.93
ENSMUSG00000027452	P8_I5_M2	0.9
ENSMUSG00000027454	P2_I12_M1	0.82
ENSMUSG00000027455	P2_I12_M4	0.95
ENSMUSG00000027456	P3_I9_M3	0.81
ENSMUSG00000027457	P3_I9_M1	0.85
ENSMUSG00000027459	P7_I7_M7	0.86
ENSMUSG00000027460	P3_I9_M3	0.84
ENSMUSG00000027463	P4_I9_M10	0.92
ENSMUSG00000027465	P4_I9_M18	0.94
ENSMUSG00000027466	P5_I8_M12	0.93
ENSMUSG00000027469	P5_I8_M10	0.96
ENSMUSG00000027470	P1_I9_M4	0.95
ENSMUSG00000027472	P3_I9_M7	0.94
ENSMUSG00000027474	UNCLASSIFIED	NA
ENSMUSG00000027475	P1_I9_M1	0.94
ENSMUSG00000027478	UNCLASSIFIED	NA
ENSMUSG00000027479	P1_I9_M1	0.97
ENSMUSG00000027487	UNCLASSIFIED	NA
ENSMUSG00000027488	UNCLASSIFIED	NA
ENSMUSG00000027489	P1_I9_M1	0.88
ENSMUSG00000027490	P3_I9_M12	0.96
ENSMUSG00000027495	P1_I9_M2	0.92
ENSMUSG00000027496	UNCLASSIFIED	NA
ENSMUSG00000027498	P3_I9_M1	0.81
ENSMUSG00000027499	P2_I12_M9	0.96
ENSMUSG00000027500	P2_I12_M3	0.85
ENSMUSG00000027502	P2_I12_M4	0.93
ENSMUSG00000027505	UNCLASSIFIED	NA
ENSMUSG00000027506	P2_I12_M1	0.96
ENSMUSG00000027508	P4_I9_M13	0.89
ENSMUSG00000027509	P6_I6_M3	0.88
ENSMUSG00000027510	P2_I12_M9	0.9
ENSMUSG00000027513	P4_I9_M24	0.89
ENSMUSG00000027514	UNCLASSIFIED	NA
ENSMUSG00000027519	P1_I9_M1	0.94
ENSMUSG00000027520	UNCLASSIFIED	NA
ENSMUSG00000027522	P4_I9_M8	0.92
ENSMUSG00000027523	P2_I12_M13	0.96
ENSMUSG00000027524	P1_I9_M3	0.9
ENSMUSG00000027528	UNCLASSIFIED	NA
ENSMUSG00000027530	UNCLASSIFIED	NA
ENSMUSG00000027531	UNCLASSIFIED	NA
ENSMUSG00000027533	P2_I12_M1	0.88
ENSMUSG00000027534	P4_I9_M16	0.83
ENSMUSG00000027536	P1_I9_M3	0.91
ENSMUSG00000027540	P5_I8_M9	0.89
ENSMUSG00000027544	P1_I9_M1	0.9
ENSMUSG00000027546	P7_I7_M3	0.9
ENSMUSG00000027550	P1_I9_M1	0.93
ENSMUSG00000027551	P4_I9_M6	0.87
ENSMUSG00000027552	UNCLASSIFIED	NA
ENSMUSG00000027555	P5_I8_M6	0.91
ENSMUSG00000027556	UNCLASSIFIED	NA
ENSMUSG00000027559	P4_I9_M5	0.85
ENSMUSG00000027560	P7_I7_M2	0.88
ENSMUSG00000027562	P1_I9_M3	0.83
ENSMUSG00000027566	P6_I6_M5	0.84
ENSMUSG00000027569	P2_I12_M5	0.87
ENSMUSG00000027570	UNCLASSIFIED	NA
ENSMUSG00000027573	P2_I12_M2	0.87
ENSMUSG00000027574	P5_I8_M2	0.84
ENSMUSG00000027575	P9_I6_M1	0.9
ENSMUSG00000027577	UNCLASSIFIED	NA
ENSMUSG00000027579	UNCLASSIFIED	NA
ENSMUSG00000027580	UNCLASSIFIED	NA
ENSMUSG00000027581	UNCLASSIFIED	NA
ENSMUSG00000027582	P2_I12_M5	0.94
ENSMUSG00000027583	P2_I12_M3	0.91
ENSMUSG00000027589	P4_I9_M18	0.81
ENSMUSG00000027593	P2_I12_M4	0.96
ENSMUSG00000027596	UNCLASSIFIED	NA
ENSMUSG00000027597	P1_I9_M2	0.97
ENSMUSG00000027598	P2_I12_M2	0.94
ENSMUSG00000027599	P4_I9_M16	0.86
ENSMUSG00000027601	P2_I12_M16	0.87
ENSMUSG00000027602	P5_I8_M2	0.92
ENSMUSG00000027603	P4_I9_M10	0.81
ENSMUSG00000027605	UNCLASSIFIED	NA
ENSMUSG00000027610	P2_I12_M17	0.89
ENSMUSG00000027611	P1_I9_M1	0.9
ENSMUSG00000027612	P5_I8_M6	0.91
ENSMUSG00000027613	P7_I7_M7	0.84
ENSMUSG00000027615	P1_I9_M1	0.96
ENSMUSG00000027618	UNCLASSIFIED	NA
ENSMUSG00000027620	P4_I9_M8	0.93
ENSMUSG00000027624	P3_I9_M2	0.93
ENSMUSG00000027628	P2_I12_M4	0.87
ENSMUSG00000027630	P5_I8_M9	0.84
ENSMUSG00000027634	P2_I12_M13	0.94
ENSMUSG00000027635	P3_I9_M4	0.91
ENSMUSG00000027636	UNCLASSIFIED	NA
ENSMUSG00000027637	UNCLASSIFIED	NA
ENSMUSG00000027639	P8_I5_M1	0.92
ENSMUSG00000027641	P1_I9_M1	0.92
ENSMUSG00000027642	P3_I9_M15	0.87
ENSMUSG00000027643	UNCLASSIFIED	NA
ENSMUSG00000027646	P4_I9_M6	0.93
ENSMUSG00000027649	P6_I6_M5	0.84
ENSMUSG00000027650	P3_I9_M1	0.86
ENSMUSG00000027651	P9_I6_M2	0.92
ENSMUSG00000027652	P2_I12_M2	0.93
ENSMUSG00000027654	UNCLASSIFIED	NA
